"Type","Source","Destination","Alt Text","Length"
"Image","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","https://inc5shop.com/cdn/shop/files/8905564920592_44878e3c-5264-403e-ae98-76f13c4692e3.png?v=1758866477&width=1500","Mom And Daughter wearing sundresses, White and multicoloured open toe flats stand side by side on a wooden floor, with only their lower bodies visible.","151"
"Image","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","https://inc5shop.com/cdn/shop/files/8905564920592_44878e3c-5264-403e-ae98-76f13c4692e3.png?v=1758866477&width=1500","Mom And Daughter wearing sundresses, White and multicoloured open toe flats stand side by side on a wooden floor, with only their lower bodies visible.","151"
"Image","https://inc5shop.com/products/women-white-and-multicoloured-open-toe-flats-with-knot-detail-101764-white","https://inc5shop.com/cdn/shop/files/8905564920592_44878e3c-5264-403e-ae98-76f13c4692e3.png?v=1758866477&width=1946","Mom And Daughter wearing sundresses, White and multicoloured open toe flats stand side by side on a wooden floor, with only their lower bodies visible.","151"
"Image","https://inc5shop.com/products/women-white-and-multicoloured-open-toe-flats-with-knot-detail-101764-white","https://inc5shop.com/cdn/shop/files/8905564920592_44878e3c-5264-403e-ae98-76f13c4692e3.png?v=1758866477&width=1445","Mom And Daughter wearing sundresses, White and multicoloured open toe flats stand side by side on a wooden floor, with only their lower bodies visible.","151"
