"Address","Indexability","Indexability Status","rel=""next"" 1","HTTP rel=""next"" 1","rel=""prev"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://inc5shop.com/collections/platform-heels","Indexable","","https://inc5shop.com/collections/platform-heels?page=2","","","","https://inc5shop.com/collections/platform-heels","","",""
"https://inc5shop.com/collections/bags-june-eoss-2026","Indexable","","https://inc5shop.com/collections/bags-june-eoss-2026?page=2","","","","https://inc5shop.com/collections/bags-june-eoss-2026","","",""
"https://inc5shop.com/collections/mens-slipons","Indexable","","https://inc5shop.com/collections/mens-slipons?page=2","","","","https://inc5shop.com/collections/mens-slipons","","",""
"https://inc5shop.com/collections/clutch-bags","Indexable","","https://inc5shop.com/collections/clutch-bags?page=2","","","","https://inc5shop.com/collections/clutch-bags","","",""
"https://inc5shop.com/collections/men-footwear","Indexable","","https://inc5shop.com/collections/men-footwear?page=2","","","","https://inc5shop.com/collections/men-footwear","","",""
"https://inc5shop.com/collections/mens-june-eoss-2026","Indexable","","https://inc5shop.com/collections/mens-june-eoss-2026?page=2","","","","https://inc5shop.com/collections/mens-june-eoss-2026","","",""
"https://inc5shop.com/collections/mens-sandals","Indexable","","https://inc5shop.com/collections/mens-sandals?page=2","","","","https://inc5shop.com/collections/mens-sandals","","",""
"https://inc5shop.com/collections/flat-50-off","Indexable","","https://inc5shop.com/collections/flat-50-off?page=2","","","","https://inc5shop.com/collections/flat-50-off","","",""
"https://inc5shop.com/collections/the-new-edit","Indexable","","https://inc5shop.com/collections/the-new-edit?page=2","","","","https://inc5shop.com/collections/the-new-edit","","",""
"https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1","Non-Indexable","Canonicalised","https://inc5shop.com/collections/like-mother-like-daughter?filter.v.availability=1&page=2","","","","https://inc5shop.com/collections/like-mother-like-daughter","","",""
"https://inc5shop.com/collections/women-footwear","Indexable","","https://inc5shop.com/collections/women-footwear?page=2","","","","https://inc5shop.com/collections/women-footwear","","",""
"https://inc5shop.com/collections/womens-wedges","Indexable","","https://inc5shop.com/collections/womens-wedges?page=2","","","","https://inc5shop.com/collections/womens-wedges","","",""
"https://inc5shop.com/collections/womens-mules","Indexable","","https://inc5shop.com/collections/womens-mules?page=2","","","","https://inc5shop.com/collections/womens-mules","","",""
"https://inc5shop.com/collections/transparent-heel-for-women","Indexable","","https://inc5shop.com/collections/transparent-heel-for-women?page=2","","","","https://inc5shop.com/collections/transparent-heel-for-women","","",""
"https://inc5shop.com/collections/flat-50","Indexable","","https://inc5shop.com/collections/flat-50?page=2","","","","https://inc5shop.com/collections/flat-50","","",""
"https://inc5shop.com/collections/womens-flats","Indexable","","https://inc5shop.com/collections/womens-flats?page=2","","","","https://inc5shop.com/collections/womens-flats","","",""
"https://inc5shop.com/collections/womens-sandals","Indexable","","https://inc5shop.com/collections/womens-sandals?page=2","","","","https://inc5shop.com/collections/womens-sandals","","",""
"https://inc5shop.com/collections/latest-style-drop","Indexable","","https://inc5shop.com/collections/latest-style-drop?page=2","","","","https://inc5shop.com/collections/latest-style-drop","","",""
"https://inc5shop.com/collections/mens-formals","Indexable","","https://inc5shop.com/collections/mens-formals?page=2","","","","https://inc5shop.com/collections/mens-formals","","",""
"https://inc5shop.com/collections/ethnic-footwear","Indexable","","https://inc5shop.com/collections/ethnic-footwear?page=2","","","","https://inc5shop.com/collections/ethnic-footwear","","",""
"https://inc5shop.com/collections/the-march-edit-in-house-bag","Indexable","","https://inc5shop.com/collections/the-march-edit-in-house-bag?page=2","","","","https://inc5shop.com/collections/the-march-edit-in-house-bag","","",""
"https://inc5shop.com/collections/shop-our-bestsellers","Indexable","","https://inc5shop.com/collections/shop-our-bestsellers?page=2","","","","https://inc5shop.com/collections/shop-our-bestsellers","","",""
"https://inc5shop.com/collections/no-sale-inc5","Indexable","","https://inc5shop.com/collections/no-sale-inc5?page=2","","","","https://inc5shop.com/collections/no-sale-inc5","","",""
"https://inc5shop.com/collections/shoulder-bags","Indexable","","https://inc5shop.com/collections/shoulder-bags?page=2","","","","https://inc5shop.com/collections/shoulder-bags","","",""
