"Site Crawled","https://inc5shop.com/"
"Start Date","2026-07-23"
"Start Time","16:48:07"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:51:09"
"Elapsed","00:03:01"
"Report Date","2026-07-23"
"Report Time","16:51:16"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Inline Text Spacing Must Be Adjustable","0","0.00%","41",""
"Links Must Be Distinguishable","0","0.00%","41",""
"Links Require Discernible Text","0","0.00%","41",""
"Links With Same Accessible Name","0","0.00%","41",""
"Select Element Requires Accessible Name","0","0.00%","41",""
"Summary Elements Require Discernible Text","0","0.00%","41",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","41",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","41",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","41",""
"Text Requires Higher Color Contrast to Background","0","0.00%","41",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","41",""
"Interactive Controls Must Not Be Nested","0","0.00%","41",""
"List Items Must Be Contained In List Elements","0","0.00%","41",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","41",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","41",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","41",""
"<th> Element Requires Associated Data Cells","0","0.00%","41",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","41",""
"Table Headers Require Discernible Text","0","0.00%","41",""
"Table With Identical Summary & Caption Text","0","0.00%","41",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","41",""
""
"Custom Search"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1539","100.00%","1539","Internal HTML pages with 2xx response"
""
"Analytics"
"All","753","100.00%","753","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","753","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","753","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","753","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","753","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","753","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","753","100.00%","753","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","753","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","753","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","753","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","753","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","753","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","753","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","753","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","753","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","753","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","753","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","753","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2253","100.00%","2253","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2253","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2253","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2253","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2253","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2253","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2253","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2253","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","2253","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","2253","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","2253","Internal URLs with 2xx response"
""
"Link Metrics"
"All","753","100.00%","753","Internal HTML/PDF pages"
""
"AI"
"All","1539","100.00%","1539","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","2.44%","41","Internal HTML pages with 2xx response"
"1","40","97.56%","41","Internal HTML pages with 2xx response"
"2","0","0.00%","41","Internal HTML pages with 2xx response"
"3","0","0.00%","41","Internal HTML pages with 2xx response"
"4","0","0.00%","41","Internal HTML pages with 2xx response"
"5","0","0.00%","41","Internal HTML pages with 2xx response"
"6","0","0.00%","41","Internal HTML pages with 2xx response"
"7","0","0.00%","41","Internal HTML pages with 2xx response"
"8","0","0.00%","41","Internal HTML pages with 2xx response"
"9","0","0.00%","41","Internal HTML pages with 2xx response"
"10+","0","0.00%","41","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://inc5shop.com/collections/shop-wallets","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/men-footwear","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/flat-50","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/pages/about-us","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/pages/refund-policy","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/the-march-edit-in-house-bag","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/pages/contactus","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/shop-our-bestsellers","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/platform-heels","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/pages/clearance-sale","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/flat-50-off","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/shoulder-bags","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/womens-sandals","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/the-prime-fit-collection","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/womens-mules","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/pages/payment-delivery-policy","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/mens-sandals","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/womens-wedges","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/mens-boots","41","100.00%","41","Internal HTML pages with 2xx response"
"https://inc5shop.com/collections/latest-style-drop","41","100.00%","41","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2210","98.18%"
"2","41","1.82%"
