"Site Crawled","https://inc5shop.com/"
"Start Date","2026-07-23"
"Start Time","16:48:07"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:51:09"
"Elapsed","00:03:01"
"Report Date","2026-07-23"
"Report Time","16:51:16"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Internal Redirection (Meta Refresh)","0","0.00%","2327","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","2327","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","2327","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","2327","All Internal Crawled URLs"
"Internal Client Error (4xx)","712","30.60%","2327","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","2327","All Internal Crawled URLs"
"External All","74","3.18%","2327","All External Crawled URLs"
"External Blocked by Robots.txt","1","0.04%","2327","All External Crawled URLs"
"External Blocked Resource","0","0.00%","2327","All External Crawled URLs"
"External No Response","0","0.00%","2327","All External Crawled URLs"
"External Success (2xx)","71","3.05%","2327","All External Crawled URLs"
"External Redirection (3xx)","1","0.04%","2327","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","2327","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","2327","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","2327","All External Crawled URLs"
"External Client Error (4xx)","1","0.04%","2327","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","2327","All External Crawled URLs"
""
"URL"
"All","2253","100.00%","2253","Internal URLs"
"Non ASCII Characters","0","0.00%","2253","Internal URLs"
"Underscores","76","3.37%","2253","Internal URLs"
"Uppercase","7","0.31%","2253","Internal URLs"
"Multiple Slashes","0","0.00%","2253","Internal URLs"
"Repetitive Path","0","0.00%","2253","Internal URLs"
"Contains Space","5","0.22%","2253","Internal URLs"
"Internal Search","0","0.00%","2253","Internal URLs"
"Parameters","114","5.06%","2253","Internal URLs"
"Broken Bookmark","0","0.00%","2253","Internal URLs"
"GA Tracking Parameters","0","0.00%","2253","Internal URLs"
"Over 115 Characters","29","1.29%","2253","Internal URLs"
""
"Page Titles"
"All","41","100.00%","41","Internal HTML pages with 2xx response"
"Missing","0","0.00%","41","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","41","Internal HTML pages with 2xx response"
"Over 60 Characters","10","24.39%","41","Internal HTML pages with 2xx response"
"Below 30 Characters","8","19.51%","41","Internal HTML pages with 2xx response"
"Over 561 Pixels","8","19.51%","41","Internal HTML pages with 2xx response"
"Below 200 Pixels","6","14.63%","41","Internal HTML pages with 2xx response"
