"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://offlimits.co.in/collections/women-tights","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.148","",""
"https://offlimits.co.in/collections/all","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.115","",""
"https://offlimits.co.in/pages/return-exchange","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.097","",""
"https://offlimits.co.in/collections/leather-shoes","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","88","0.110","",""
"https://offlimits.co.in/collections/men-sandals-sliders","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","44","0.114","",""
"https://offlimits.co.in/policies/refund-policy","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","43","","",""
"https://offlimits.co.in/collections/white-shoes-for-men","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","44","0.122","",""
"https://offlimits.co.in/collections/women-running-gym","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.121","",""
"https://offlimits.co.in/collections/men-gym-training","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.108","",""
"https://offlimits.co.in/collections/women-bestsellers","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.117","",""
"https://offlimits.co.in/pages/privacy-policy","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.123","",""
"https://offlimits.co.in/collections/men-running-shoes","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","44","0.118","",""
"https://offlimits.co.in/collections/women-clothing","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.113","",""
"https://offlimits.co.in/collections/women","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","86","0.116","",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.118","",""
"https://offlimits.co.in/collections/casual-shoes-men","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.110","",""
"https://offlimits.co.in/pages/store-gallery","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.123","",""
"https://offlimits.co.in/account","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","86","","",""
"https://offlimits.co.in/collections/men-running-gym","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.121","",""
"https://offlimits.co.in/pages/sitemap","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.113","",""
"https://offlimits.co.in/collections/men-sweatshirts","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.104","",""
"https://offlimits.co.in/collections/mens-footwear","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","44","0.132","",""
"https://offlimits.co.in/policies/terms-of-service","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","43","","",""
"https://offlimits.co.in/collections/men-shorts","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","44","0.107","",""
"https://offlimits.co.in/collections/basketball-boots","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.106","",""
"https://offlimits.co.in/cart","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","129","","",""
"https://offlimits.co.in/collections/men-track-suits","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","174","0.105","",""
"https://offlimits.co.in/collections/s-w-a-t-men","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","43","0.114","",""
