"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://www.strique.io/trust-center","577","180","3.206","47.724","Hard","Indexable",""
"https://www.strique.io/security","478","102","4.686","40.666","Hard","Indexable",""
