"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.strique.io/privacy-policy","Indexable","","1","","106","49","0","100.000","77","14","0","11","8","0"
"https://www.strique.io/trust-center","Indexable","","1","","102","49","0","100.000","24","14","0","18","17","0"
