"Site Crawled","https://www.strique.io/"
"Start Date","2026-07-23"
"Start Time","16:45:40"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:45:57"
"Elapsed","00:00:16"
"Report Date","2026-07-23"
"Report Time","16:46:01"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Analytics"
"All","49","100.00%","49","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","49","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","49","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","49","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","49","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","49","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","49","100.00%","49","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","49","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","49","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","49","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","49","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","49","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","49","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","49","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","49","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","49","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","49","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","49","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","121","100.00%","121","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","121","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","121","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","121","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","121","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","121","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","121","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","121","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","121","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","121","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","121","Internal URLs with 2xx response"
""
"Link Metrics"
"All","49","100.00%","49","Internal HTML/PDF pages"
""
"AI"
"All","121","100.00%","121","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","2.04%","49","Internal HTML pages with 2xx response"
"1","16","32.65%","49","Internal HTML pages with 2xx response"
"2","24","48.98%","49","Internal HTML pages with 2xx response"
"3","8","16.33%","49","Internal HTML pages with 2xx response"
"4","0","0.00%","49","Internal HTML pages with 2xx response"
"5","0","0.00%","49","Internal HTML pages with 2xx response"
"6","0","0.00%","49","Internal HTML pages with 2xx response"
"7","0","0.00%","49","Internal HTML pages with 2xx response"
"8","0","0.00%","49","Internal HTML pages with 2xx response"
"9","0","0.00%","49","Internal HTML pages with 2xx response"
"10+","0","0.00%","49","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.strique.io/","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/product","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/about","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/solutions","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/pricing","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/privacy-policy","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/integrations","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/trust-center","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/customers","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/careers","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/security","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/contact","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/terms","49","100.00%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/contact?intent=demo","12","24.49%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/customers/inc5","4","8.16%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/customers/powerlook","4","8.16%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/customers/crimzon","4","8.16%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/for","4","8.16%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/contact?intent=sales","3","6.12%","49","Internal HTML pages with 2xx response"
"https://www.strique.io/vs","3","6.12%","49","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","120","99.17%"
"2","0","0.00%"
"3","1","0.83%"
