"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://offlimits.co.in/pages/privacy-policy","text/html; charset=utf-8","200","OK","Indexable","","e6299835bf51e369bb47e781b4eb8a9","44","https://offlimits.co.in/pages/privacy-policy","https://offlimits.co.in/pages/privacy-policy"
"https://offlimits.co.in/collections/women","text/html; charset=utf-8","200","OK","Indexable","","65d334117ce973b7de30fa1935a89e81","41","https://offlimits.co.in/collections/women","https://offlimits.co.in/collections/women"
"https://offlimits.co.in/collections/men-running-shoes","text/html; charset=utf-8","200","OK","Indexable","","b76346d75a82a1374c2278976efc7a8f","53","https://offlimits.co.in/collections/men-running-shoes","https://offlimits.co.in/collections/men-running-shoes"
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","f9d55157a96a9cf922709dc0d335fc09","112","https://offlimits.co.in/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02"
"https://offlimits.co.in/collections/women-bestsellers","text/html; charset=utf-8","200","OK","Indexable","","c6d0850fbf57cf85cf336c1bb389da2b","53","https://offlimits.co.in/collections/women-bestsellers","https://offlimits.co.in/collections/women-bestsellers"
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","2d34c8cdce40dae8851bd21f7c476f7e","99","https://offlimits.co.in/products/roger-select-black-silver-ocm-915-08","https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","51a04e32ea443f899c68b2d7368a7fac","112","https://offlimits.co.in/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06"
"https://offlimits.co.in/collections/new-arrivals-2026/products/crossover-big-tall-off-white-r-blue-mango-ocm-833-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","115","","https://offlimits.co.in/collections/new-arrivals-2026/products/crossover-big-tall-off-white-r-blue-mango-ocm-833-02"
"https://offlimits.co.in/policies/refund-policy","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","46","","https://offlimits.co.in/policies/refund-policy"
"https://offlimits.co.in/collections/men-sandals-sliders","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","55","","https://offlimits.co.in/collections/men-sandals-sliders"
"https://offlimits.co.in/collections/men-gym-training","text/html; charset=utf-8","200","OK","Indexable","","56c4e04a79531910c3f3050231ab5531","52","https://offlimits.co.in/collections/men-gym-training","https://offlimits.co.in/collections/men-gym-training"
"https://offlimits.co.in/collections/leather-shoes","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","49","","https://offlimits.co.in/collections/leather-shoes"
"https://offlimits.co.in/collections/women-running-gym","text/html; charset=utf-8","200","OK","Indexable","","7217f71877b8725e9813e1d2f4409277","53","https://offlimits.co.in/collections/women-running-gym","https://offlimits.co.in/collections/women-running-gym"
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","9cbd4167e6221102c97defcbfa6c25ae","85","https://offlimits.co.in/products/unbound-teal-orm-855-06","https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06"
"https://offlimits.co.in/collections/all","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","39","","https://offlimits.co.in/collections/all"
"https://offlimits.co.in/collections/women-tights","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","48","","https://offlimits.co.in/collections/women-tights"
"https://offlimits.co.in/pages/contact","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","37","","https://offlimits.co.in/pages/contact"
"https://offlimits.co.in/pages/return-exchange","text/html; charset=utf-8","200","OK","Indexable","","eb2e8dda65543824329a86796ebfc380","45","https://offlimits.co.in/pages/return-exchange","https://offlimits.co.in/pages/return-exchange"
"https://offlimits.co.in/collections/new-arrivals-2026/products/gladiator-explorex-beige-ocm-724-10","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","98","","https://offlimits.co.in/collections/new-arrivals-2026/products/gladiator-explorex-beige-ocm-724-10"
"https://offlimits.co.in/collections/men-joggers-track-pants","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","59","","https://offlimits.co.in/collections/men-joggers-track-pants"
"https://offlimits.co.in/blogs/blogs","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","35","","https://offlimits.co.in/blogs/blogs"
"https://offlimits.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js","text/javascript","200","OK","Non-Indexable","Canonicalised","","94","","https://offlimits.co.in/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js"
"https://offlimits.co.in/pages/technology","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","40","","https://offlimits.co.in/pages/technology"
"https://offlimits.co.in/collections/men-bestsellers","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","51","","https://offlimits.co.in/collections/men-bestsellers"
"https://offlimits.co.in/checkouts/internal/preloads.js?locale=en-IN","application/javascript; charset=utf-8","200","OK","Indexable","","","67","","https://offlimits.co.in/checkouts/internal/preloads.js?locale=en-IN"
"https://offlimits.co.in/collections/white-shoes-for-men","text/html; charset=utf-8","200","OK","Indexable","","1d53a10c43109c2be915d601587796fd","55","https://offlimits.co.in/collections/white-shoes-for-men","https://offlimits.co.in/collections/white-shoes-for-men"
"https://offlimits.co.in/collections/mens-bestsellers/products/apex-1-beige-air-force-blue-orm-888-02","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","100","","https://offlimits.co.in/collections/mens-bestsellers/products/apex-1-beige-air-force-blue-orm-888-02"
"https://offlimits.co.in/collections/mens-bestsellers/products/memphis-genuine-leather-red-beige-ocm-723-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","106","","https://offlimits.co.in/collections/mens-bestsellers/products/memphis-genuine-leather-red-beige-ocm-723-05"
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","60","","https://offlimits.co.in/collections/men-tshirts-graphic-tees"
"https://offlimits.co.in/collections/women-gym-training","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","54","","https://offlimits.co.in/collections/women-gym-training"
"https://offlimits.co.in/collections/sneaker-for-men","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","51","","https://offlimits.co.in/collections/sneaker-for-men"
"https://offlimits.co.in/collections/skate-sneakers","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","50","","https://offlimits.co.in/collections/skate-sneakers"
"https://offlimits.co.in/pages/terms-conditions","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","46","","https://offlimits.co.in/pages/terms-conditions"
"https://offlimits.co.in/collections/women-sweatshirts","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","53","","https://offlimits.co.in/collections/women-sweatshirts"
"https://offlimits.co.in/collections/new-arrivals-2026/products/skyline-select-camel-honey-ocm-910-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","100","","https://offlimits.co.in/collections/new-arrivals-2026/products/skyline-select-camel-honey-ocm-910-05"
"https://offlimits.co.in/collections/new-arrivals-2026/products/skyline-select-big-tall-camel-honey-ocm-913-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","109","","https://offlimits.co.in/collections/new-arrivals-2026/products/skyline-select-big-tall-camel-honey-ocm-913-05"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-light-grey-ocw-926-03","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","104","","https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-light-grey-ocw-926-03"
"https://offlimits.co.in/collections/women-sandals-sliders","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","57","","https://offlimits.co.in/collections/women-sandals-sliders"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-beige-ocw-926-05","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","99","","https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-beige-ocw-926-05"
"https://offlimits.co.in/cdn/shop/t/69/assets/nt_vendor.min.js?v=63039283586479772611782293440","text/javascript","200","OK","Non-Indexable","Canonicalised","","93","","https://offlimits.co.in/cdn/shop/t/69/assets/nt_vendor.min.js?v=63039283586479772611782293440"
"https://offlimits.co.in/collections/women-running-shoes","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","55","","https://offlimits.co.in/collections/women-running-shoes"
"https://offlimits.co.in/collections/stussy-for-women","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","52","","https://offlimits.co.in/collections/stussy-for-women"
"https://offlimits.co.in/collections/black-sneakers","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","50","","https://offlimits.co.in/collections/black-sneakers"
"https://offlimits.co.in/collections/women-new-releases","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","54","","https://offlimits.co.in/collections/women-new-releases"
"https://offlimits.co.in/collections/big-tall","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","44","","https://offlimits.co.in/collections/big-tall"
"https://offlimits.co.in/collections/mens-sports-shoes","text/html; charset=UTF-8","429","Too Many Requests","Non-Indexable","Client Error","","53","","https://offlimits.co.in/collections/mens-sports-shoes"
