"Address","Status Code","Status","Inlinks","Matched Robots.txt Line"
"https://offlimits.co.in/collections/low-top-shoes-for-men?sort_by=price-ascending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks?sort_by=price-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks?sort_by=best-selling","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks?sort_by=price-ascending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks?sort_by=created-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/women-running-shoes?sort_by=price-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/women-running-shoes?sort_by=best-selling","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/women-running-shoes?sort_by=price-ascending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/women-running-shoes?sort_by=created-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-shorts?sort_by=best-selling","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-shorts?sort_by=created-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-shorts?sort_by=price-ascending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-shorts?sort_by=price-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-running-shoes?sort_by=price-ascending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-running-shoes?sort_by=created-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-running-shoes?sort_by=best-selling","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
"https://offlimits.co.in/collections/men-running-shoes?sort_by=price-descending","0","Blocked by robots.txt","1","Line:14 /collections/*sort_by*"
