"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://offlimits.co.in/cdn/shop/files/ORM-66102_1_80x80.jpg?v=1721987884","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_6.jpg?v=1772535918","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/collections/men-running-shoes","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://offlimits.co.in/collections/men-running-shoes","max-image-preview:large",""
"https://offlimits.co.in/cdn/shop/files/14_1_f780662b-3786-4e56-ac0f-ab28adfef02c.jpg?v=1772536168","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/preview_images/85ce94207ac54e9ca4f744165e5bba28.thumbnail.0000000000_1024x1024.jpg?v=1755940375","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_4.jpg?v=1772535918","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/s2s_a3650d04-1563-4c46-b062-fdbfdc8697be.png?v=1775135200","image/png","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_2.jpg?v=1721987884","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/OLMenssizechart_af4bb732-6982-48cb-967e-8f2f4649cb5c.jpg?v=1774436088","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_1.jpg?v=1721987884","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/t/72/assets/clickpost-edd.js?v=117835901834048677501782818409","text/javascript","200","OK","1.1","Non-Indexable","Canonicalised","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_8.jpg?v=1772535918","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/OLMenssizechart_cadee3a8-c66d-4f3e-8185-d1508ebc2b04.jpg?v=1775641278","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_5.jpg?v=1772535918","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://offlimits.co.in/cdn/shop/files/ORM-66102_3.jpg?v=1772535918","image/jpeg","200","OK","1.1","Indexable","","","",""
