"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://offlimits.co.in/pages/technology","80","29","2.759","33.778","Hard","Indexable",""
"https://offlimits.co.in/pages/store-gallery","95","32","2.969","48.870","Hard","Indexable",""
