"Address","Indexability","Indexability Status","rel=""next"" 1","HTTP rel=""next"" 1","rel=""prev"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://offlimits.co.in/collections/women","Indexable","","https://offlimits.co.in/collections/women?page=2","","","","https://offlimits.co.in/collections/women","","max-image-preview:large",""
"https://offlimits.co.in/collections/men-shoes/","Non-Indexable","Canonicalised","https://offlimits.co.in/collections/men-shoes?page=2","","","","https://offlimits.co.in/collections/men-shoes","","max-image-preview:large",""
"https://offlimits.co.in/collections/all","Indexable","","https://offlimits.co.in/collections/all?page=2","","","","https://offlimits.co.in/collections/all","","max-image-preview:large",""
"https://offlimits.co.in/collections/men-shoes","Indexable","","https://offlimits.co.in/collections/men-shoes?page=2","","","","https://offlimits.co.in/collections/men-shoes","","max-image-preview:large",""
"https://offlimits.co.in/collections/mens-shoes","Indexable","","https://offlimits.co.in/collections/mens-shoes?page=2","","","","https://offlimits.co.in/collections/mens-shoes","","max-image-preview:large",""
