"Source","Destination","Alt Text"
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/New_Project_11_3dbf9b4d-d5c4-44ef-b8dd-4fff04038664.jpg?v=1741157228",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/New_Project_13.jpg?v=1741157228",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/griffith-big-tall-off-white-green-ocm-936-05","https://cdn.shopify.com/s/files/1/0549/2926/0637/files/6989d89379a88_size_15_dbead77f-4b21-4dc6-9be5-3cb4dc5a724e.png?v=1770643023",""
