"Site Crawled","https://offlimits.co.in/"
"Start Date","2026-08-18"
"Start Time","14:38:24"
"Last Modified Date","2026-08-18"
"Last Modified Time","14:39:22"
"Elapsed","00:00:56"
"Report Date","2026-08-18"
"Report Time","14:39:24"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Interactive Controls Must Not Be Nested","0","0.00%","35",""
"List Items Must Be Contained In List Elements","0","0.00%","35",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","35",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","35",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","35",""
"<th> Element Requires Associated Data Cells","0","0.00%","35",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","35",""
"Table Headers Require Discernible Text","0","0.00%","35",""
"Table With Identical Summary & Caption Text","0","0.00%","35",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","35",""
""
"Custom Search"
"All","35","100.00%","35","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","35","100.00%","35","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","220","100.00%","220","Internal HTML pages with 2xx response"
""
"Analytics"
"All","771","100.00%","771","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","771","Internal URLs with associated Google Analytics data"
